Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
29_3016;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.09;10.16;11.13;0.0801;0;0;0;0.087;2.4355;0.1342;0;0.346;19.82;0;0.0099;0.0297;0.0155;0.0017;0;0.0059;0.0029;0.004;0.0428;0.0066;0;0;0;0;0;0;0;0.0037;0;0;0
29_3047;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8.53;20.55;0.0324;0;0;0;0;0.7529;0;0;0.0197;3.2651;0;0;0.0024;0.0021;0.0007;0;0.0003;0;0;0.0238;0.0018;0;0;0.0042;0;0;0;0;0;0;0;0
29_3049;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.44;14.25;8.12;0.1242;0;0;0;0;2.5379;0.11;0;0.2271;20.96;0;0.0083;0.0276;0.0156;0.0012;0;0.0014;0.0019;0.0063;0.0471;0.0084;0;0;0;0;0;0;0;0.0018;0;0;0
29_3712;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.35;13.45;7.6;0.1137;0;0;0;0.0983;1.755;0.0721;0;0.1541;19.86;0;0.0102;0.0323;0.0133;0;0;0.0005;0.0014;0.0023;0.0351;0.0048;0;0;0;0;0;0;0;0.003;0;0;0
29_3986;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.85;12.35;9.8;0.0934;0;0;0;0.0483;2.5499;0.0987;0;0.2923;22.98;0;0.012;0.0446;0.0168;0;0;0.0018;0.0025;0.0061;0.0419;0.0067;0;0;0;0;0;0;0;0.0034;0;0;0
29_4301;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.24;13.26;16.54;0;0;0;0;0;0.3953;0;0;0;3.8797;0;0;0;0.0018;0.001;0;0;0.0005;0.0006;0.0174;0.0017;0;0;0;0;0;0;0;0;0;0;0
29_6334;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;11.98;8.39;0.0911;0;0;0;0;2.2017;0.0944;0;0.303;23.39;0;0.0088;0.042;0.0189;0;0;0.002;0.0014;0.0043;0.0373;0.0059;0;0;0;0;0;0;0;0.0029;0;0;0
29_6335;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7.62;24.72;0;0;0;0;0;0.4522;0;0;0.0206;1.6448;0;0.0019;0;0.0016;0.0005;0;0;0.0004;0.0008;0.014;0.0009;0;0;0;0;0;0;0;0;0;0;0
29_7405;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.83;11.46;13.97;0.0568;0;0;0;0;1.5932;0.031;0.0082;0.1053;8.73;0;0.0043;0.0139;0.0077;0.0011;0;0.0014;0.0014;0.0021;0.051;0.0058;0;0;0;0;0;0;0;0.0034;0;0;0
29_8386;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;16.36;16.04;0;0;0;0;0;0.742;0;0.0096;0.0079;3.5805;0;0;0;0.0018;0;0;0.0003;0.0008;0.0014;0.0514;0.003;0;0;0;0;0;0;0;0.0011;0;0;0
29_8392;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.32;20.55;14.01;0.0189;0;0;0;0;0.8878;0;0;0;5.223;0;0.0022;0;0.0026;0.0009;0;0.0003;0.0011;0.0019;0.0645;0.0058;0;0;0;0;0;0;0;0.001;0;0;0
29_8416;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.13;16.11;14.93;0.0261;0;0;0;0;0.6114;0;0;0;4.0919;0;0;0;0.0012;0;0;0;0.0004;0.0012;0.061;0.0029;0;0;0;0;0;0;0;0.0009;0;0;0
29_8422;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.47;16.73;15.23;0;0;0;0;0;0.7206;0;0.0087;0.007;4.3402;0;0;0;0.0012;0.0007;0;0;0.0006;0.0008;0.0485;0.0037;0;0;0;0;0;0;0;0;0;0;0
29_8423;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;14.69;11.35;0;0;0;0;0;0.6731;0;0;0;5.5447;0;0;0;0.0015;0.0009;0;0;0.0005;0.0012;0.0508;0.0041;0;0;0;0;0;0;0;0;0;0.002;0
29_8447;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;8.46;3.9489;0.0815;0;0;0;0;1.7154;0.0615;0;0.049;10.68;0;0.0046;0.0132;0.0072;0.001;0;0.0006;0.0014;0.0012;0.0283;0.0045;0;0;0;0;0;0;0;0.0019;0;0;0
29_9513;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.08;12.5;7.17;0.0662;0;0;0;0.1336;1.6506;0.0516;0;0.0796;15.53;0;0.0057;0.0255;0.0136;0.0015;0;0.0007;0.0013;0.0023;0.03;0.0043;0;0;0;0;0;0;0;0.0024;0;0;0
29_10428;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.33;13.78;9.21;0.1086;0;0;0;0;2.134;0.0976;0;0.1977;21.43;0;0.0086;0.0432;0.015;0;0;0;0.001;0.0063;0.0369;0.0047;0;0;0;0;0;0;0;0.003;0;0;0
29_10433;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.13;9.48;14.22;0.0841;0;0;0;0.0759;0.7513;0.0471;0.008;0.154;6.2232;0;0.0051;0.0067;0.0046;0.0012;0;0.0069;0.003;0.0034;0.0285;0.0191;0;0;0;0;0;0.0026;0;0.0057;0;0;0
29_11568;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;12.1;7.52;0.0808;0;0;0;0;1.6538;0.0588;0;0.0856;15.6;0;0.0044;0.0248;0.0111;0.0026;0;0.0006;0.0009;0.0024;0.0356;0.0053;0;0;0;0;0;0;0;0.002;0;0;0
